0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Year
369,Jordan Walsh,21,BOS,PF,60,21,17.7,2.0,3.9,.515,0.7,1.7,.398,1.3,2.1,.609,.604,0.6,0.8,.755,1.4,2.8,4.1,0.8,0.7,0.5,0.5,2.1,5.3,,2026
370,Kobe Brown,26,2TM,PF,55,4,14.3,1.8,4.0,.457,0.8,2.1,.365,1.1,1.9,.558,.553,0.8,0.9,.808,1.0,1.7,2.7,1.1,0.3,0.2,0.8,1.1,5.2,,2026
370,Kobe Brown,26,LAC,PF,34,0,8.7,1.0,2.5,.393,0.4,1.4,.265,0.6,1.0,.571,.470,0.6,0.8,.808,0.5,1.0,1.6,0.8,0.3,0.1,0.4,0.5,2.9,,2026
370,Kobe Brown,26,IND,PF,21,4,23.5,3.2,6.4,.496,1.4,3.1,.439,1.8,3.3,.551,.604,1.0,1.2,.808,1.7,2.7,4.4,1.5,0.5,0.5,1.3,2.1,8.8,,2026
371,KJ Simpson,23,2TM,PG,17,2,14.5,1.9,5.6,.344,0.7,2.3,.308,1.2,3.4,.368,.406,0.6,1.1,.611,0.5,1.5,2.0,2.5,0.9,0.0,1.4,0.9,5.2,,2026
371,KJ Simpson,23,CHO,PG,14,2,15.9,2.2,6.4,.348,0.9,2.8,.308,1.4,3.6,.380,.416,0.7,1.1,.625,0.4,1.7,2.1,2.5,1.1,0.0,1.7,1.0,6.0,,2026
371,KJ Simpson,23,DEN,PG,3,0,7.7,0.7,2.3,.286,0.0,0.0,,0.7,2.3,.286,.286,0.3,0.7,.500,1.0,0.7,1.7,2.7,0.3,0.0,0.0,0.3,1.7,,2026
372,Drew Eubanks,28,SAC,C,42,11,13.1,2.2,3.7,.596,0.0,0.2,.143,2.2,3.5,.617,.599,0.8,1.4,.561,0.9,2.1,3.0,0.5,0.4,0.6,0.7,1.4,5.2,,2026
373,Andersson Garcia,25,UTA,SF,5,2,33.8,1.8,5.8,.310,0.2,2.6,.077,1.6,3.2,.500,.328,1.4,1.8,.778,3.4,5.0,8.4,2.8,1.6,0.8,1.4,3.2,5.2,,2026
374,Garrison Mathews,29,IND,SG,15,1,13.1,1.4,3.5,.404,1.1,3.1,.370,0.3,0.4,.667,.567,1.3,1.5,.826,0.1,1.0,1.1,0.7,0.4,0.2,0.2,1.3,5.2,,2026
375,Guerschon Yabusele,30,2TM,C,61,13,14.0,1.7,4.2,.405,1.0,2.7,.374,0.7,1.6,.458,.523,0.7,0.9,.741,0.8,2.5,3.3,0.9,0.4,0.2,0.6,1.2,5.1,,2026
375,Guerschon Yabusele,30,NYK,C,41,0,8.9,1.0,2.6,.393,0.5,1.7,.294,0.5,1.0,.564,.486,0.2,0.3,.667,0.6,1.5,2.1,0.4,0.1,0.1,0.4,0.9,2.7,,2026
375,Guerschon Yabusele,30,CHI,C,20,13,24.4,3.2,7.6,.414,2.1,4.8,.432,1.1,2.9,.386,.549,1.6,2.1,.762,1.2,4.4,5.6,1.8,0.9,0.5,1.0,1.8,10.0,,2026
